selection1_name,selection1_url
Ladu Kishore Swain,https://india.gov.in/my-government/indian-parliament/ladu-kishore-swain
Nagendra Kumar Pradhan,https://india.gov.in/my-government/indian-parliament/nagendra-kumar-pradhan
Jhina Hikaka,https://india.gov.in/my-government/indian-parliament/jhina-hikaka
Sakuntala Laguri,https://india.gov.in/my-government/indian-parliament/sakuntala-laguri
Radheshyam Biswas,https://india.gov.in/my-government/indian-parliament/radheshyam-biswas
Prabhas Kumar Singh,https://india.gov.in/my-government/indian-parliament/prabhas-kumar-singh
Muzaffar Hussain Baig,https://india.gov.in/my-government/indian-parliament/muzaffar-hussain-baig
Balka Suman,https://india.gov.in/my-government/indian-parliament/balka-suman
Nagesh Godam,https://india.gov.in/my-government/indian-parliament/nagesh-godam
Boora Narsaiah Goud,https://india.gov.in/my-government/indian-parliament/boora-narsaiah-goud
Kavitha Kalvakuntla,https://india.gov.in/my-government/indian-parliament/kavitha-kalvakuntla
Srihari Kadiyam,https://india.gov.in/my-government/indian-parliament/srihari-kadiyam
Konda Vishweshwar Reddy,https://india.gov.in/my-government/indian-parliament/konda-vishweshwar-reddy
Narasimham Thota,https://india.gov.in/my-government/indian-parliament/narasimham-thota
Rajeev Shankarrao Satav,https://india.gov.in/my-government/indian-parliament/rajeev-shankarrao-satav
Arka Keshari Deo,https://india.gov.in/my-government/indian-parliament/arka-keshari-deo
Balabhadra Majhi,https://india.gov.in/my-government/indian-parliament/balabhadra-majhi
Rabindra Kumar Jena,https://india.gov.in/my-government/indian-parliament/rabindra-kumar-jena
Shailesh (Bulo Mandal) Kumar,https://india.gov.in/my-government/indian-parliament/shailesh-bulo-mandal-kumar
S.S. Ahluwalia,https://india.gov.in/my-government/indian-parliament/ss-ahluwalia
Santosh Kumar,https://india.gov.in/my-government/indian-parliament/santosh-kumar
S.P. Muddahanumegowda,https://india.gov.in/my-government/indian-parliament/sp-muddahanumegowda
B.V. Nayak,https://india.gov.in/my-government/indian-parliament/bv-nayak
Vijaysinh Mohite Patil,https://india.gov.in/my-government/indian-parliament/vijaysinh-mohite-patil
Gaurav Gogoi,https://india.gov.in/my-government/indian-parliament/gaurav-gogoi
Heena Vijaykumar Gavit,https://india.gov.in/my-government/indian-parliament/heena-vijaykumar-gavit
Faizal P.P. Mohammed,https://india.gov.in/my-government/indian-parliament/faizal-pp-mohammed
Raghav Lakhanpal,https://india.gov.in/my-government/indian-parliament/raghav-lakhanpal
Sushmita Dev,https://india.gov.in/my-government/indian-parliament/sushmita-dev
Santokh Singh Chaudhary,https://india.gov.in/my-government/indian-parliament/santokh-singh-chaudhary
Rajyavardhan Singh Rathore,https://india.gov.in/my-government/indian-parliament/rajyavardhan-singh-rathore
Shrirang Appa Barne,https://india.gov.in/my-government/indian-parliament/shrirang-appa-barne
Sadhvi Savitri Bai Phoole,https://india.gov.in/my-government/indian-parliament/sadhvi-savitri-bai-phoole
Akshay Yadav,https://india.gov.in/my-government/indian-parliament/akshay-yadav
Kunwar Sarvesh Kumar,https://india.gov.in/my-government/indian-parliament/kunwar-sarvesh-kumar
Chirag Paswan,https://india.gov.in/my-government/indian-parliament/chirag-paswan
Harsh Vardhan,https://india.gov.in/my-government/indian-parliament/harsh-vardhan
Kirron Kher,https://india.gov.in/my-government/indian-parliament/kirron-kher
Naba (Hira) Kumar Sarania,https://india.gov.in/my-government/indian-parliament/naba-hira-kumar-sarania
Ch. Malla Reddy,https://india.gov.in/my-government/indian-parliament/ch-malla-reddy
Kinjarapu Ram Mohan Naidu,https://india.gov.in/my-government/indian-parliament/kinjarapu-ram-mohan-naidu
Jayadev Galla,https://india.gov.in/my-government/indian-parliament/jayadev-galla
Sriram Malyadri,https://india.gov.in/my-government/indian-parliament/sriram-malyadri
Jayant Sinha,https://india.gov.in/my-government/indian-parliament/jayant-sinha
Dhananjay Bhimrao Mahadik,https://india.gov.in/my-government/indian-parliament/dhananjay-bhimrao-mahadik
Ravindra Vishwanath Gaikwad,https://india.gov.in/my-government/indian-parliament/ravindra-vishwanath-gaikwad
Vinayak Bhaurao Raut,https://india.gov.in/my-government/indian-parliament/vinayak-bhaurao-raut
Udit Raj,https://india.gov.in/my-government/indian-parliament/udit-raj
Ram Swaroop Sharma,https://india.gov.in/my-government/indian-parliament/ram-swaroop-sharma
B. Sreeramulu,https://india.gov.in/my-government/indian-parliament/b-sreeramulu
Ramesh Pokhriyal Nishank,https://india.gov.in/my-government/indian-parliament/ramesh-pokhriyal-nishank
Ashok Gajapati Raju Pusapati,https://india.gov.in/my-government/indian-parliament/ashok-gajapati-raju-pusapati
Parvesh Sahib Singh,https://india.gov.in/my-government/indian-parliament/parvesh-sahib-singh
Parbhubhai Nagarbhai Vasava,https://india.gov.in/my-government/indian-parliament/parbhubhai-nagarbhai-vasava
Bheemrao Baswanthrao Patil,https://india.gov.in/my-government/indian-parliament/bheemrao-baswanthrao-patil
Arjunlal Meena,https://india.gov.in/my-government/indian-parliament/arjunlal-meena
Advocate Narendra Keshav Sawaikar,https://india.gov.in/my-government/indian-parliament/advocate-narendra-keshav-sawaikar
Ram Prasad Sarmah,https://india.gov.in/my-government/indian-parliament/ram-prasad-sarmah
Lallu Singh,https://india.gov.in/my-government/indian-parliament/lallu-singh
Poonamben Hematbhai Maadam,https://india.gov.in/my-government/indian-parliament/poonamben-hematbhai-maadam
Sunil Kumar Singh,https://india.gov.in/my-government/indian-parliament/sunil-kumar-singh
Rama Kishore Singh,https://india.gov.in/my-government/indian-parliament/rama-kishore-singh
Ashok Mahadeorao Nete,https://india.gov.in/my-government/indian-parliament/ashok-mahadeorao-nete
Paresh Rawal,https://india.gov.in/my-government/indian-parliament/paresh-rawal
Anil Shirole,https://india.gov.in/my-government/indian-parliament/anil-shirole
Rameswar Teli,https://india.gov.in/my-government/indian-parliament/rameswar-teli
Sanganna Amarappa Karadi,https://india.gov.in/my-government/indian-parliament/sanganna-amarappa-karadi
Hari Babu Kambhampati,https://india.gov.in/my-government/indian-parliament/hari-babu-kambhampati
Abhishek Singh,https://india.gov.in/my-government/indian-parliament/abhishek-singh
Vinod Chavda,https://india.gov.in/my-government/indian-parliament/vinod-chavda
Muthamsetti Srinivasa Rao (Avnthi),https://india.gov.in/my-government/indian-parliament/muthamsetti-srinivasa-rao-avnthi
Kamakhya Prasad Tasa,https://india.gov.in/my-government/indian-parliament/kamakhya-prasad-tasa
Nagendra Singh,https://india.gov.in/my-government/indian-parliament/nagendra-singh
Birendra Kumar Chaudhary,https://india.gov.in/my-government/indian-parliament/birendra-kumar-chaudhary
Sanjay Haribhau Jadhav,https://india.gov.in/my-government/indian-parliament/sanjay-haribhau-jadhav
Krupal Balaji Tumane,https://india.gov.in/my-government/indian-parliament/krupal-balaji-tumane
Sadashiv Kisan Lokhande,https://india.gov.in/my-government/indian-parliament/sadashiv-kisan-lokhande
Charanjeet Singh Rori,https://india.gov.in/my-government/indian-parliament/charanjeet-singh-rori
Vishnu Dayal Ram,https://india.gov.in/my-government/indian-parliament/vishnu-dayal-ram
Janardan Mishra,https://india.gov.in/my-government/indian-parliament/janardan-mishra
Anju Bala,https://india.gov.in/my-government/indian-parliament/anju-bala
Bharatendra Singh,https://india.gov.in/my-government/indian-parliament/bharatendra-singh
Raksha Nikhil Khadse,https://india.gov.in/my-government/indian-parliament/raksha-nikhil-khadse
Kalraj Mishra,https://india.gov.in/my-government/indian-parliament/kalraj-mishra
Jugal Kishore Sharma,https://india.gov.in/my-government/indian-parliament/jugal-kishore-sharma
Janak Ram,https://india.gov.in/my-government/indian-parliament/janak-ram
Jitendra Singh,https://india.gov.in/my-government/indian-parliament/jitendra-singh
Meenakashi Lekhi,https://india.gov.in/my-government/indian-parliament/meenakashi-lekhi
Om Birla,https://india.gov.in/my-government/indian-parliament/om-birla
Ajay Nishad,https://india.gov.in/my-government/indian-parliament/ajay-nishad
Ram Kumar Sharma Kushwaha,https://india.gov.in/my-government/indian-parliament/ram-kumar-sharma-kushwaha
Arvind Ganpat Sawant,https://india.gov.in/my-government/indian-parliament/arvind-ganpat-sawant
Sharad Tripathi,https://india.gov.in/my-government/indian-parliament/sharad-tripathi
Riti Pathak,https://india.gov.in/my-government/indian-parliament/riti-pathak
Kaushal Kishore,https://india.gov.in/my-government/indian-parliament/kaushal-kishore
Sumedhanand Saraswati,https://india.gov.in/my-government/indian-parliament/sumedhanand-saraswati
Prathap Simha,https://india.gov.in/my-government/indian-parliament/prathap-simha
Sanwar Lal Jat,https://india.gov.in/my-government/indian-parliament/sanwar-lal-jat
Sharadkumar Maruti Bansode,https://india.gov.in/my-government/indian-parliament/sharadkumar-maruti-bansode
Bidyut Baran Mahato,https://india.gov.in/my-government/indian-parliament/bidyut-baran-mahato
Babul Supriyo,https://india.gov.in/my-government/indian-parliament/babul-supriyo
Alok Sanjar,https://india.gov.in/my-government/indian-parliament/alok-sanjar
Rodmal Nagar,https://india.gov.in/my-government/indian-parliament/rodmal-nagar
Srinivas Kesineni,https://india.gov.in/my-government/indian-parliament/srinivas-kesineni
J.C. Divakar Reddy,https://india.gov.in/my-government/indian-parliament/jc-divakar-reddy
Murali Mohan Maganti,https://india.gov.in/my-government/indian-parliament/murali-mohan-maganti
Rajesh Pandey,https://india.gov.in/my-government/indian-parliament/rajesh-pandey
Ashok Kumar Dohrey,https://india.gov.in/my-government/indian-parliament/ashok-kumar-dohrey
Ajay (Teni) Misra,https://india.gov.in/my-government/indian-parliament/ajay-teni-misra
Bharat Singh,https://india.gov.in/my-government/indian-parliament/bharat-singh
Krishna Raj,https://india.gov.in/my-government/indian-parliament/krishna-raj
Bharati Dhirubhai Shiyal,https://india.gov.in/my-government/indian-parliament/bharati-dhirubhai-shiyal
Mohanbhai Kalyanjibhai Kundariya,https://india.gov.in/my-government/indian-parliament/mohanbhai-kalyanjibhai-kundariya
Dipsinh Shankarsinh Rathod,https://india.gov.in/my-government/indian-parliament/dipsinh-shankarsinh-rathod
Kamalbhan Singh Marabi,https://india.gov.in/my-government/indian-parliament/kamalbhan-singh-marabi
Lakhan Lal Sahu,https://india.gov.in/my-government/indian-parliament/lakhan-lal-sahu
Midhun Reddy,https://india.gov.in/my-government/indian-parliament/midhun-reddy
Yerram Venkata Subba Reddy,https://india.gov.in/my-government/indian-parliament/yerram-venkata-subba-reddy
(Adv.) Joice George,https://india.gov.in/my-government/indian-parliament/adv-joice-george
Subhash Patel,https://india.gov.in/my-government/indian-parliament/subhash-patel
Veena Devi,https://india.gov.in/my-government/indian-parliament/veena-devi
Ponguleti Srinivasa Reddy,https://india.gov.in/my-government/indian-parliament/ponguleti-srinivasa-reddy
Hemant Tukaram Godse,https://india.gov.in/my-government/indian-parliament/hemant-tukaram-godse
Renuka Butta,https://india.gov.in/my-government/indian-parliament/renuka-butta
Sanjay(Kaka) Ramchandra Patil,https://india.gov.in/my-government/indian-parliament/sanjaykaka-ramchandra-patil
Geetha Kothapalli,https://india.gov.in/my-government/indian-parliament/geetha-kothapalli
Subhash Ramrao Bhamre,https://india.gov.in/my-government/indian-parliament/subhash-ramrao-bhamre
Priyanka Singh Rawat,https://india.gov.in/my-government/indian-parliament/priyanka-singh-rawat
Dharam Vira Gandhi,https://india.gov.in/my-government/indian-parliament/dharam-vira-gandhi
Anshul Verma,https://india.gov.in/my-government/indian-parliament/anshul-verma
Sadhu Singh,https://india.gov.in/my-government/indian-parliament/sadhu-singh
Krishna Pratap Singh,https://india.gov.in/my-government/indian-parliament/krishna-pratap-singh
Hari Om Pandey,https://india.gov.in/my-government/indian-parliament/hari-om-pandey
Chandra Prakash Joshi,https://india.gov.in/my-government/indian-parliament/chandra-prakash-joshi
Gajendra Singh Shekhawat,https://india.gov.in/my-government/indian-parliament/gajendra-singh-shekhawat
Sukhbir Singh Jaunpuria,https://india.gov.in/my-government/indian-parliament/sukhbir-singh-jaunpuria
Ravindra Kumar Ray,https://india.gov.in/my-government/indian-parliament/ravindra-kumar-ray
Manoj Rajoria,https://india.gov.in/my-government/indian-parliament/manoj-rajoria
Mukesh Rajput,https://india.gov.in/my-government/indian-parliament/mukesh-rajput
Pushpendra Singh Chandel,https://india.gov.in/my-government/indian-parliament/pushpendra-singh-chandel
Devendra (Alias) Bhole Singh Singh,https://india.gov.in/my-government/indian-parliament/devendra-alias-bhole-singh-singh
Rajan Baburao Vichare,https://india.gov.in/my-government/indian-parliament/rajan-baburao-vichare
Anupriya Patel,https://india.gov.in/my-government/indian-parliament/anupriya-patel
Gopal Chinayya Shetty,https://india.gov.in/my-government/indian-parliament/gopal-chinayya-shetty
Poonam Mahajan,https://india.gov.in/my-government/indian-parliament/poonam-mahajan
Shrikant Eknath Shinde,https://india.gov.in/my-government/indian-parliament/shrikant-eknath-shinde
Kapil Moreshwar Patil,https://india.gov.in/my-government/indian-parliament/kapil-moreshwar-patil
Yashwant Singh,https://india.gov.in/my-government/indian-parliament/yashwant-singh
Ramcharan Bohara,https://india.gov.in/my-government/indian-parliament/ramcharan-bohara
Hariom Singh Rathore,https://india.gov.in/my-government/indian-parliament/hariom-singh-rathore
Rahul Kaswan,https://india.gov.in/my-government/indian-parliament/rahul-kaswan
Raj Kumar Singh,https://india.gov.in/my-government/indian-parliament/raj-kumar-singh
Ajay Tamta,https://india.gov.in/my-government/indian-parliament/ajay-tamta
Bodh Singh Bhagat,https://india.gov.in/my-government/indian-parliament/bodh-singh-bhagat
Ashwini Kumar Choubey,https://india.gov.in/my-government/indian-parliament/ashwini-kumar-choubey
Ashwini Kumar,https://india.gov.in/my-government/indian-parliament/ashwini-kumar
Anbumani Ramadoss,https://india.gov.in/my-government/indian-parliament/anbumani-ramadoss
Dharambir,https://india.gov.in/my-government/indian-parliament/dharambir
Chintamani Malviya,https://india.gov.in/my-government/indian-parliament/chintamani-malviya
Upendra Kushwaha,https://india.gov.in/my-government/indian-parliament/upendra-kushwaha-0
Kunwar Haribansh Singh,https://india.gov.in/my-government/indian-parliament/kunwar-haribansh-singh
Sunil Baliram Gaikwad,https://india.gov.in/my-government/indian-parliament/sunil-baliram-gaikwad
Mahesh Sharma,https://india.gov.in/my-government/indian-parliament/mahesh-sharma
Giriraj Singh,https://india.gov.in/my-government/indian-parliament/giriraj-singh
Harish Chandra Meena,https://india.gov.in/my-government/indian-parliament/harish-chandra-meena
Bhagat Singh Koshyari,https://india.gov.in/my-government/indian-parliament/bhagat-singh-koshyari-0
Janardan Singh Sigriwal,https://india.gov.in/my-government/indian-parliament/janardan-singh-sigriwal
Anoop Mishra,https://india.gov.in/my-government/indian-parliament/anoop-mishra
C.R. Chaudhary,https://india.gov.in/my-government/indian-parliament/cr-chaudhary
Bhagwant Mann,https://india.gov.in/my-government/indian-parliament/bhagwant-mann
Rajveer (Raju Bhaiya) Singh,https://india.gov.in/my-government/indian-parliament/rajveer-raju-bhaiya-singh
Harish Dwivedi,https://india.gov.in/my-government/indian-parliament/harish-dwivedi
Bhagwanth Khuba,https://india.gov.in/my-government/indian-parliament/bhagwanth-khuba
Chand Nath Yogi,https://india.gov.in/my-government/indian-parliament/chand-nath-yogi
Satya Pal Singh,https://india.gov.in/my-government/indian-parliament/satya-pal-singh-0
Krishan Pal,https://india.gov.in/my-government/indian-parliament/krishan-pal
Santosh Ahlawat,https://india.gov.in/my-government/indian-parliament/santosh-ahlawat
Babulal Chaudhary,https://india.gov.in/my-government/indian-parliament/babulal-chaudhary
Bhairon Prasad Mishra,https://india.gov.in/my-government/indian-parliament/bhairon-prasad-mishra
